,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
27333,18-24,Retail,29948,USD,United States,Colorado,2 - 4 years,1 year or less,Some college,Woman,White,Mid Level
27335,35-44,Law Enforcement & Security,57046,USD,United States,,21 - 30 years,11 - 20 years,High School,Man,White,Mid Level
27336,45-54,Computing or Tech,121000,USD,United States,Oregon,31 - 40 years,21 - 30 years,High School,Man,White,Managerial Level
27337,25-34,Nonprofits,75000,USD,United States,California,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
27338,25-34,Law,67000,USD,United States,New York,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
27339,35-44,Engineering or Manufacturing,121000,USD,United States,North Carolina,8 - 10 years,8 - 10 years,College degree,,White,Senior Level
27340,25-34,Art & Design,55000,USD,United States,Alaska,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
27341,35-44,Engineering or Manufacturing,113000,USD,United States,Kansas,8 - 10 years,5-7 years,Master's degree,Man,White,Senior Level
27342,25-34,Engineering or Manufacturing,69940,USD,United States,Georgia,8 - 10 years,2 - 4 years,High School,Man,White,Mid Level
27343,35-44,"Accounting, Banking & Finance",126199,USD,United States,Oregon,21 - 30 years,11 - 20 years,College degree,Woman,White,Mid Level
27344,25-34,Property or Construction,43355,USD,United States,Ohio,11 - 20 years,1 year or less,College degree,Man,White,Mid Level
27345,25-34,Property or Construction,71500,USD,United States,Washington,5-7 years,5-7 years,Some college,Man,White,Mid Level
27346,55-64,Education (Higher Education),34000,USD,United States,Idaho,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
27348,35-44,Recruitment or HR,38480,USD,United States,California,8 - 10 years,2 - 4 years,High School,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27349,35-44,Engineering or Manufacturing,114000,USD,United States,Connecticut,11 - 20 years,11 - 20 years,Some college,Man,White,Mid Level
27350,25-34,Health care,218200,USD,United States,California,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,Mid Level
27351,35-44,Health care,79000,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
27352,35-44,Engineering or Manufacturing,94753,USD,Australia,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
27353,25-34,Computing or Tech,74407,USD,United States,,5-7 years,5-7 years,High School,Man,White,Mid Level
27354,25-34,Computing or Tech,57000,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
27355,25-34,"Accounting, Banking & Finance",78484,USD,United States,,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Managerial Level
27356,25-34,Nonprofits,31199,USD,United States,Nevada,11 - 20 years,2 - 4 years,Some college,Woman,White,Mid Level
27357,18-24,"Accounting, Banking & Finance",42145,USD,United States,New York,2 - 4 years,1 year or less,Some college,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27358,35-44,Engineering or Manufacturing,150000,USD,United States,Washington,21 - 30 years,11 - 20 years,High School,Man,White,Mid Level
27359,18-24,Health care,44800,USD,United States,Rhode Island,8 - 10 years,2 - 4 years,High School,Woman,White,Mid Level
27360,25-34,Computing or Tech,69500,USD,United States,Oregon,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Senior Level
27361,18-24,Business or Consulting,82000,USD,United States,Texas,2 - 4 years,1 year or less,College degree,Man,Asian or Asian American,Mid Level
27362,25-34,Computing or Tech,59780,USD,United Kingdom,,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
27363,35-44,Education (Higher Education),133000,USD,United States,California,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American,Executive Level
27364,25-34,Education (Primary/Secondary),46000,USD,United States,Virginia,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,Mid Level
27365,25-34,Engineering or Manufacturing,133000,USD,United States,Pennsylvania,8 - 10 years,8 - 10 years,Master's degree,Man,White,Senior Level
27367,35-44,Engineering or Manufacturing,80500,USD,United States,Georgia,11 - 20 years,1 year or less,College degree,Man,White,Managerial Level
27368,35-44,Law,109000,USD,United States,Oregon,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
27369,18-24,Retail,22000,USD,United States,Texas,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
27370,18-24,Health care,35000,USD,United States,California,8 - 10 years,5-7 years,Some college,Woman,Asian or Asian American,Mid Level
27371,35-44,Engineering or Manufacturing,139000,USD,United States,Kentucky,11 - 20 years,11 - 20 years,Master's degree,Man,White,Managerial Level
27372,18-24,Property or Construction,42000,USD,United States,Washington,1 year or less,5-7 years,High School,Woman,White,Mid Level
27373,35-44,Engineering or Manufacturing,67000,USD,United States,Wisconsin,11 - 20 years,11 - 20 years,High School,Man,White,Mid Level
27374,25-34,Property or Construction,35000,USD,United States,Ohio,1 year or less,1 year or less,High School,Man,White,Mid Level
27375,35-44,"Marketing, Advertising & PR",58136,USD,United States,,11 - 20 years,11 - 20 years,College degree,Woman,Black or African American,Mid Level
27376,18-24,Retail,35360,USD,United States,New York,2 - 4 years,2 - 4 years,Some college,Man,Black or African American,Managerial Level
27377,25-34,Computing or Tech,102000,USD,United States,Michigan,5-7 years,5-7 years,College degree,Woman,Black or African American,Managerial Level
27378,18-24,Retail,30000,USD,United States,Mississippi,5-7 years,5-7 years,High School,Woman,White,Mid Level
27379,18-24,Hospitality & Events,30200,USD,United States,Michigan,5-7 years,1 year or less,Some college,Woman,White,Mid Level
27380,25-34,Retail,44000,USD,United States,Maine,11 - 20 years,2 - 4 years,High School,Man,White,Managerial Level
27381,25-34,Transport or Logistics,37788,USD,United States,,11 - 20 years,1 year or less,Some college,Man,White,Mid Level
27382,25-34,Art & Design,58240,USD,United States,Nevada,5-7 years,5-7 years,Some college,Woman,White,Managerial Level
27383,25-34,Health care,24000,USD,United States,Pennsylvania,8 - 10 years,8 - 10 years,Some college,Woman,White,Mid Level
27384,18-24,Transport or Logistics,71000,USD,United States,Pennsylvania,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27385,18-24,Engineering or Manufacturing,39520,USD,United States,New Hampshire,2 - 4 years,1 year or less,Some college,Non-binary,Black or African American,Mid Level
27386,18-24,Entertainment,29000,USD,United States,Indiana,2 - 4 years,2 - 4 years,College degree,Man,Asian or Asian American,Mid Level
27387,25-34,Health care,33150,USD,United States,Connecticut,8 - 10 years,2 - 4 years,College degree,Woman,White,Mid Level
27388,18-24,Engineering or Manufacturing,93500,USD,United States,Iowa,2 - 4 years,2 - 4 years,College degree,Man,Black or African American,Mid Level
27389,35-44,Retail,209866,USD,United States,,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Middle Eastern or Northern African,Mid Level
27390,25-34,Computing or Tech,210000,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
27391,25-34,Engineering or Manufacturing,83000,USD,United States,Florida,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
27393,25-34,Computing or Tech,239000,USD,United States,California,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,Senior Level
27394,35-44,Engineering or Manufacturing,84600,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
27395,45-54,Education (Primary/Secondary),80000,USD,United States,Ohio,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
27396,25-34,Property or Construction,36000,USD,United States,Utah,2 - 4 years,5-7 years,Some college,Man,White,Mid Level
27397,25-34,Health care,97882,USD,United States,Washington,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American,Managerial Level
27398,35-44,"Accounting, Banking & Finance",100000,USD,United States,Florida,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Managerial Level
27399,25-34,Health care,41370,USD,United States,Missouri,5-7 years,5-7 years,Some college,Woman,White,Mid Level
27400,25-34,Retail,36840,USD,United States,New Jersey,5-7 years,5-7 years,College degree,Woman,White,Mid Level
27401,35-44,Recruitment or HR,66000,USD,United States,Pennsylvania,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27402,25-34,Art & Design,43000,USD,United States,Kentucky,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27403,25-34,Health care,82000,USD,United States,Colorado,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
27405,45-54,Computing or Tech,121000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Man,White,Mid Level
27406,25-34,Health care,84000,USD,United States,New York,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
27407,25-34,Computing or Tech,138000,USD,United States,Pennsylvania,8 - 10 years,5-7 years,College degree,Man,White,Managerial Level
27408,25-34,Recruitment or HR,70000,USD,United States,Illinois,5-7 years,2 - 4 years,Master's degree,Woman,White,Junior Level
27409,18-24,Transport or Logistics,45000,USD,United States,Texas,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27410,25-34,"Accounting, Banking & Finance",73000,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Man,Middle Eastern or Northern African,Mid Level
27412,25-34,Health care,75000,USD,United States,North Carolina,5-7 years,2 - 4 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,Mid Level
27413,25-34,Health care,65000,USD,United States,Texas,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27414,25-34,Property or Construction,69800,USD,United States,Minnesota,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
27415,18-24,Computing or Tech,200000,USD,United States,Washington,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27416,45-54,Transport or Logistics,90000,USD,United States,Texas,8 - 10 years,8 - 10 years,High School,Man,White,Mid Level
27417,25-34,Nonprofits,42000,USD,United States,New Jersey,2 - 4 years,1 year or less,College degree,Man,White,Mid Level
27418,25-34,Health care,132000,USD,United States,New York,1 year or less,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White,Mid Level
27419,25-34,"Accounting, Banking & Finance",107000,USD,United States,Virginia,8 - 10 years,8 - 10 years,Master's degree,Man,White,Mid Level
27420,55-64,Retail,31199,USD,United States,Arizona,41 years or more,1 year or less,College degree,Woman,White,Mid Level
27421,25-34,Agriculture or Forestry,32200,USD,United States,Illinois,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
27422,25-34,Sales,110000,USD,United States,Minnesota,11 - 20 years,5-7 years,High School,Man,White,Executive Level
27423,25-34,Law,71500,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27424,25-34,Business or Consulting,410000,USD,United States,New York,8 - 10 years,8 - 10 years,College degree,Woman,White,Executive Level
27426,25-34,Computing or Tech,168000,USD,United States,Washington,8 - 10 years,2 - 4 years,College degree,Man,White,Senior Level
27427,18-24,Retail,18820,USD,United States,North Carolina,1 year or less,1 year or less,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27428,45-54,Computing or Tech,185000,USD,United States,Utah,21 - 30 years,2 - 4 years,Master's degree,Man,Another option not listed here or prefer not to answer,Mid Level
27430,18-24,Hospitality & Events,37350,USD,United States,Minnesota,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27433,45-54,Government and Public Administration,83000,USD,United States,California,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
27434,35-44,Engineering or Manufacturing,160000,USD,United States,Colorado,11 - 20 years,11 - 20 years,Master's degree,Man,White,Managerial Level
27435,25-34,Engineering or Manufacturing,59953,USD,United States,,5-7 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27436,25-34,Engineering or Manufacturing,70000,USD,United States,Illinois,8 - 10 years,5-7 years,Some college,Man,White,Mid Level
27437,25-34,Transport or Logistics,71000,USD,United States,Michigan,5-7 years,2 - 4 years,College degree,Man,Middle Eastern or Northern African,Mid Level
27438,55-64,Health care,90000,USD,United States,Texas,21 - 30 years,11 - 20 years,College degree,Woman,White,Executive Level
27439,35-44,Education (Higher Education),45000,USD,United States,New Jersey,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
27440,25-34,Computing or Tech,250000,USD,United States,Washington,5-7 years,2 - 4 years,Master's degree,Man,White,Managerial Level
27441,45-54,"Accounting, Banking & Finance",125000,USD,United States,Oregon,11 - 20 years,11 - 20 years,Master's degree,Man,White,Managerial Level
27442,25-34,Engineering or Manufacturing,120000,USD,United States,North Carolina,5-7 years,5-7 years,College degree,Man,White,Managerial Level
27443,25-34,Property or Construction,157000,USD,United States,New Jersey,5-7 years,5-7 years,College degree,Man,White,Mid Level
27444,25-34,Insurance,120000,USD,Denmark,,5-7 years,2 - 4 years,Master's degree,Man,White,Managerial Level
27445,35-44,Computing or Tech,205000,USD,United States,Florida,11 - 20 years,11 - 20 years,Some college,Man,White,Senior Level
27446,25-34,Business or Consulting,152630,USD,United Kingdom,,5-7 years,5-7 years,College degree,Man,Another option not listed here or prefer not to answer,Managerial Level
27447,35-44,Business or Consulting,140000,USD,United States,Washington,11 - 20 years,8 - 10 years,PhD,Man,White,Mid Level
27449,25-34,Business or Consulting,58508,USD,United Kingdom,,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
27450,25-34,Computing or Tech,115500,USD,United States,Florida,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
27451,25-34,Utilities & Telecommunications,53049,USD,United States,,5-7 years,5-7 years,College degree,Man,White,Senior Level
27452,25-34,Computing or Tech,128000,USD,United States,Utah,8 - 10 years,5-7 years,College degree,Man,White,Senior Level
27453,18-24,Retail,38000,USD,United States,Alabama,2 - 4 years,2 - 4 years,College degree,Non-binary,"Hispanic, Latino, or Spanish origin",Mid Level
